Item #,*Designator,*Qty,Manufacturer,*Mfg Part #,Description / Value,*Package/Footprint ,Type,Your Instructions / Notes
1,U7,1,ST,L3GD20,IC MEMS MOTION SENSOR 16LLGA ,LGA-16_4x4mm_P0.65mm_LayoutBorder4x4y,Surface Mount,
2,"U6,U5",2,Nexperia,"74LVC8T245PW,118 ",IC TRNSLTR BIDIRECTIONAL 24TSSOP,TSSOP-24_4.4x7.8mm_P0.65mm,Surface Mount,
3,U4,1,Abracon,‎ASDMB-24.000MHZ-LC-T,MEMS OSC XO 24.0000MHZ LVCMOS,Oscillator_SMD_Abracon_ASDMB-4Pin_2.5x2.0mm,Surface Mount,
4,U3,1,TI,‎TXS0102DCTR‎,IC TRNSLTR BIDIRECTIONAL SM8,SSOP-8_2.95x2.8mm_P0.65mm,Surface Mount,
5,U2,1,Omnivision,‎OVM7690-R20A,SENSOR CAMERA CMOS 20CAMERACUBE,BGA-20_2.4x2.6mm_Layout4x5_P0.5mm,Surface Mount,
6,U1,1,TI,‎LM3671MF-2.8/NOPB‎ ,IC REG BUCK 2.8V 600MA SOT23-5,SOT-23-5,Surface Mount,
7,"R4,R3,R2,R1",4,‎Yageo‎,‎RC0402JR-074K7L‎ ,RES SMD 4.7K OHM 5% 1/16W 0402,R_0402_1005Metric,Surface Mount,Exact passive Component part numbers can be replaced with parts of same footprint and size at your convenience
8,"L3,L1",2,Abracon,‎AIML-0603-3R3K-T‎ ,FIXED IND 3.3UH 15MA 1.55 OHM,L_0402_1005Metric,Surface Mount,Exact passive Component part numbers can be replaced with parts of same footprint and size at your convenience
9,L2,1,Abracon,‎AIML-0603-2R2K-T,FIXED IND 2.2UH 15MA 1.15 OHM,L_0402_1005Metric,Surface Mount,Exact passive Component part numbers can be replaced with parts of same footprint and size at your convenience
10,C12,1,Yageo,CC0402KRX7R7BB103 ,CAP CER 10000PF 16V X7R 0402 ,C_0402_1005Metric,Surface Mount,Exact passive Component part numbers can be replaced with parts of same footprint and size at your convenience
11,"C11, C10,C9,C8,C7,C4,C2",6,Samsung Electro-Mechanics,‎CL05F104ZO5NNNC‎ ,CAP CER 0.1UF 16V Y5V 0402,C_0402_1005Metric,Surface Mount,Exact passive Component part numbers can be replaced with parts of same footprint and size at your convenience
12,"C13, C6,C5,C3",3,Murata Electronics,‎GRM155R60G106ME44D,CAP CER 10UF 4V X5R 0402,C_0402_1005Metric,Surface Mount,Exact passive Component part numbers can be replaced with parts of same footprint and size at your convenience
13,C1,1,Murata Electronics,‎GRM155R60J475ME47D‎,CAP CER 4.7UF 6.3V X5R 0402,C_0402_1005Metric,Surface Mount,Exact passive Component part numbers can be replaced with parts of same footprint and size at your convenience
,,25,,,,,,
